scenario,a1,k1,a2,k2,a3,k3,D1,D2,D3
washout_P0,0.6,0.5,1.5,0.5,1.2,0.4,0.8,0.7,0.7
prey_only_P1,2.0,0.5,0.5,1.0,1.0,1.0,0.5,0.6,0.6
prey_first_predator_P2,2.0,0.5,2.0,1.0,0.5,1.0,0.5,0.5,0.7
coexistence_P3,4.8,0.17,4.3,1.85,4.6,1.66,0.72,1.11,0.665
oscillatory_interior_response,6.52,1.76,5.07,2.64,3.78,0.0466,1.14,0.778,0.488
washout_high_prey_removal,4.8,0.17,4.3,1.85,4.6,1.66,4.2,1.11,0.665
washout_weak_prey_growth,1.0,1.0,2.0,1.0,2.0,1.0,0.9,0.6,0.6
prey_only_predator_limited,3.0,0.5,0.4,1.0,1.0,1.0,0.6,0.7,0.6
prey_first_predator_strong_y,3.0,0.5,3.0,1.0,0.4,1.0,0.6,0.7,0.8
coexistence_low_D3,4.8,0.17,4.3,1.85,4.6,1.66,0.72,1.11,0.4655
coexistence_high_D3,4.8,0.17,4.3,1.85,4.6,1.66,0.72,1.11,0.8645
top_predator_washout_high_D3,4.8,0.17,4.3,1.85,4.6,1.66,0.72,1.11,0.9975
coexistence_alt_parameters,5.0,0.17,4.3,1.85,4.6,1.66,0.72,1.11,0.665
