scenario,equilibrium,exists,S,x,y,z,P0_stable,f1(1)-D1
washout_P0,P0,yes,1.0,0.0,0.0,0.0,True,-0.4000000000000001
washout_P0,P1,no,,,,,True,-0.4000000000000001
washout_P0,P2,no,,,,,True,-0.4000000000000001
washout_P0,P3,no,,,,,True,-0.4000000000000001
prey_only_P1,P0,yes,1.0,0.0,0.0,0.0,False,0.8333333333333333
prey_only_P1,P1,yes,0.16666666666666666,1.6666666666666667,0.0,0.0,False,0.8333333333333333
prey_only_P1,P2,no,,,,,False,0.8333333333333333
prey_only_P1,P3,no,,,,,False,0.8333333333333333
prey_first_predator_P2,P0,yes,1.0,0.0,0.0,0.0,False,0.8333333333333333
prey_first_predator_P2,P1,yes,0.16666666666666666,1.6666666666666667,0.0,0.0,False,0.8333333333333333
prey_first_predator_P2,P2,yes,0.6286669787805295,0.3333333333333333,0.40933270911587405,0.0,False,0.8333333333333333
prey_first_predator_P2,P3,no,,,,,False,0.8333333333333333
coexistence_P3,P0,yes,1.0,0.0,0.0,0.0,False,3.3825641025641033
coexistence_P3,P1,yes,0.030000000000000002,1.3472222222222223,0.0,0.0,False,3.3825641025641033
coexistence_P3,P2,yes,0.0728744129773986,0.6437304075235111,0.4176934176726035,0.0,False,3.3825641025641033
coexistence_P3,P3,yes,0.05506726861131028,0.8045970948911543,0.28053367217280817,0.08154954426677714,False,3.3825641025641033
oscillatory_interior_response,P0,yes,1.0,0.0,0.0,0.0,False,1.22231884057971
oscillatory_interior_response,P1,yes,0.37293680297397763,0.5500554359877389,0.0,0.0,False,1.22231884057971
oscillatory_interior_response,P2,yes,0.41022348980186507,0.4785461323392359,0.05685593743178882,0.0,False,1.22231884057971
oscillatory_interior_response,P3,yes,0.37731077964417636,0.5409937090209942,0.0069078979343863926,0.001192720223702912,False,1.22231884057971
washout_high_prey_removal,P0,yes,1.0,0.0,0.0,0.0,True,-0.09743589743589709
washout_high_prey_removal,P1,no,,,,,True,-0.09743589743589709
washout_high_prey_removal,P2,no,,,,,True,-0.09743589743589709
washout_high_prey_removal,P3,no,,,,,True,-0.09743589743589709
washout_weak_prey_growth,P0,yes,1.0,0.0,0.0,0.0,True,-0.4
washout_weak_prey_growth,P1,no,,,,,True,-0.4
washout_weak_prey_growth,P2,no,,,,,True,-0.4
washout_weak_prey_growth,P3,no,,,,,True,-0.4
prey_only_predator_limited,P0,yes,1.0,0.0,0.0,0.0,False,1.4
prey_only_predator_limited,P1,yes,0.125,1.4583333333333335,0.0,0.0,False,1.4
prey_only_predator_limited,P2,no,,,,,False,1.4
prey_only_predator_limited,P3,no,,,,,False,1.4
prey_first_predator_strong_y,P0,yes,1.0,0.0,0.0,0.0,False,1.4
prey_first_predator_strong_y,P1,yes,0.125,1.4583333333333335,0.0,0.0,False,1.4
prey_first_predator_strong_y,P2,yes,0.5301269076007884,0.30434782608695654,0.4103777096351349,0.0,False,1.4
prey_first_predator_strong_y,P3,no,,,,,False,1.4
coexistence_low_D3,P0,yes,1.0,0.0,0.0,0.0,False,3.3825641025641033
coexistence_low_D3,P1,yes,0.030000000000000002,1.3472222222222223,0.0,0.0,False,3.3825641025641033
coexistence_low_D3,P2,yes,0.0728744129773986,0.6437304075235111,0.4176934176726035,0.0,False,3.3825641025641033
coexistence_low_D3,P3,yes,0.045146008782467106,0.948002892597678,0.18689805296892012,0.1392804935944803,False,3.3825641025641033
coexistence_high_D3,P0,yes,1.0,0.0,0.0,0.0,False,3.3825641025641033
coexistence_high_D3,P1,yes,0.030000000000000002,1.3472222222222223,0.0,0.0,False,3.3825641025641033
coexistence_high_D3,P2,yes,0.0728744129773986,0.6437304075235111,0.4176934176726035,0.0,False,3.3825641025641033
coexistence_high_D3,P3,yes,0.0681307617960556,0.6785564679171776,0.3841707937357784,0.019524580989247628,False,3.3825641025641033
top_predator_washout_high_D3,P0,yes,1.0,0.0,0.0,0.0,False,3.3825641025641033
top_predator_washout_high_D3,P1,yes,0.030000000000000002,1.3472222222222223,0.0,0.0,False,3.3825641025641033
top_predator_washout_high_D3,P2,yes,0.0728744129773986,0.6437304075235111,0.4176934176726035,0.0,False,3.3825641025641033
top_predator_washout_high_D3,P3,no,,,,,False,3.3825641025641033
coexistence_alt_parameters,P0,yes,1.0,0.0,0.0,0.0,False,3.5535042735042737
coexistence_alt_parameters,P1,yes,0.028598130841121495,1.3491692627206646,0.0,0.0,False,3.5535042735042737
coexistence_alt_parameters,P2,yes,0.06916701211957843,0.6437304075235111,0.42103341843896636,0.0,False,3.5535042735042737
coexistence_alt_parameters,P3,yes,0.052160520182951586,0.8074018861258314,0.28053367217280817,0.08288382809757078,False,3.5535042735042737
